Country,City,AccentCity,Region,Population,Latitude,Longitude
ch,altenrhein,Altenrhein,15,,47.490366,9.552161
ch,alterswil,Alterswil,06,,46.795867,7.258774
ch,alterswilen,Alterswilen,15,,47.610058,9.153448
ch,alt-felsberg,Alt-Felsberg,09,,46.845343,9.469952
ch,alt guraletsch,Alt Guraletsch,09,,46.583333,9.133333
ch,altishofen,Altishofen,01,,47.199161,7.969636
ch,altmatt,Altmatt,17,,47.133333,8.7
ch,altnau,Altnau,15,,47.611622,9.259048
ch,alton,Alton,16,,47.598501,8.647005
ch,alt sankt johann,Alt Sankt Johann,10,,47.19401,9.286565
ch,altstatten,Altstatten,15,10585,47.379433,9.548989
ch,alt toggenburg,Alt Toggenburg,25,,47.383333,8.966667
ch,alt-wiedikon,Alt-Wiedikon,25,,47.366667,8.516667
ch,alvaneu,Alvaneu,09,,46.67892,9.64378
ch,alvaneubad,Alvaneubad,09,,46.67892,9.64378
ch,alvaneu dorf,Alvaneu Dorf,09,,46.67892,9.64378
ch,alvaschein,Alvaschein,09,,46.674884,9.55051
ch,am bach,Am Bach,09,,46.458679,9.537212
ch,ambri,Ambri,20,,46.5,8.683333
ch,amden,Amden,08,,47.148879,9.142332
ch,amriswil,Amriswil,15,11543,47.546992,9.298365
ch,amsoldingen,Amsoldingen,05,,46.727544,7.582471
ch,amsteg,Amsteg,21,,46.771317,8.669632
ch,andeer,Andeer,09,,46.603867,9.426647
ch,andelfingen,Andelfingen,16,,47.594829,8.679678
ch,andermatt,Andermatt,14,,46.635441,8.592644
ch,andest,Andest,09,,46.784541,9.113726
ch,andwil,Andwil,02,,47.438553,9.276365
ch,angeli custodi,Angeli Custodi,09,,46.359105,10.075162
ch,angone,Angone,20,,46.444278,8.863508
ch,anieres,Anieres,07,,46.276223,6.223024
ch,anveuda,Anveuda,20,,46.540922,8.900976
ch,anzonico,Anzonico,20,,46.430189,8.866034
ch,appenzell,Appenzell,10,5541,47.328914,9.410547
ch,apples,Apples,23,,46.552405,6.429052
ch,apro,Apro,22,,46.20668,7.313524
ch,aproz,Aproz,22,,46.20668,7.313524
ch,aquila,Aquila,20,,46.503874,8.949169
ch,aquino,Aquino,20,,46.263911,8.825898
ch,arbas,Arbas,22,,46.273625,7.383997
ch,arbaz,Arbaz,22,,46.273625,7.383997
ch,arbedo,Arbedo,20,,46.215788,9.047344
ch,arbon,Arbon,15,13125,47.515392,9.434779
ch,arcegno,Arcegno,20,,46.162208,8.741895
ch,arch,Arch,18,,47.166249,7.429376
ch,arconciel,Arconciel,06,,46.746348,7.124687
ch,ardet,Ardet,20,,46.48466,8.906359
ch,ardez,Ardez,09,,46.77506,10.202284
ch,ardon,Ardon,22,,46.210635,7.257758
ch,argseeli,Argseeli,08,,46.900244,8.927914
ch,arisdorf,Arisdorf,01,,47.510104,7.764598
ch,aristau,Aristau,01,,47.286915,8.363562
ch,arlesheim,Arlesheim,04,9737,47.495875,7.619839
ch,arnex,Arnex,23,,46.693983,6.518862
ch,arni alm,Arni Alm,14,,46.816667,8.25
ch,arni alp,Arni Alp,14,,46.800379,8.090093
ch,arni,Arni,05,,46.935186,7.664734
ch,arogno,Arogno,20,,45.958976,8.986486
ch,arolla,Arolla,22,,46.024603,7.482451
ch,arosa,Arosa,09,2162,46.777926,9.676206
ch,arosa bahnhof,Arosa Bahnhof,09,,46.777926,9.676206
ch,arosio,Arosio,20,,46.047774,8.905971
ch,artaschiew,Artaschiew,09,,46.916667,9.516667
ch,arth,Arth,17,10100,47.06337,8.523485
ch,arveyes,Arveyes,23,,46.290027,7.060604
ch,arvigo,Arvigo,20,,46.302106,9.112998
ch,arzier,Arzier,07,,46.459561,6.208546
ch,arzo,Arzo,20,,45.875924,8.940859
ch,ascharina,Ascharina,09,,46.95162,9.80539
ch,aschlenberg,Aschlenberg,06,,46.786634,7.261203
ch,ascona,Ascona,20,5236,46.156255,8.778395
ch,assens,Assens,23,,46.612594,6.622221
ch,astano,Astano,20,,46.012491,8.816535
ch,asuel,Asuel,26,,47.403564,7.210779
ch,attalens,Attalens,23,,46.509958,6.848353
ch,attinghausen,Attinghausen,21,,46.862554,8.630363
ch,attiswil,Attiswil,18,,47.248852,7.613538
ch,au,Au,04,,47.55,7.65
ch,au,Au,15,6864,47.432211,9.633869
ch,au,Au,24,,47.233333,8.633333
ch,au,Au,25,,47.383333,8.95
ch,aubonne,Aubonne,07,,46.495992,6.391542
ch,auenstein,Auenstein,01,,47.415578,8.134546
ch,auf dem stock,Auf dem Stock,14,,46.716667,8.233333
ch,auf der hohe,Auf der Hohe,09,,46.916667,9.4
ch,augio,Augio,20,,46.364501,9.126973
ch,augst,Augst,01,,47.536818,7.717205
ch,aumont,Aumont,23,,46.79958,6.851329
ch,auressio,Auressio,20,,46.20111,8.683962
ch,aurigeno,Aurigeno,20,,46.231986,8.712219
ch,ausserbinn,Ausserbinn,01,,46.381967,8.14817
ch,ausserdinhard,Ausserdinhard,25,,47.555989,8.769482
ch,aussere altmatt,Aussere Altmatt,17,,47.133333,8.7
ch,ausserferrera,Ausserferrera,09,,46.557064,9.440275
ch,ausserglas,Ausserglas,09,,46.678045,9.345985
ch,ausserholligen,Ausserholligen,22,,46.083333,7.4
ch,ausser latterbach,Ausser Latterbach,05,,46.668387,7.597505
ch,aussersihl,Aussersihl,25,,47.366667,8.55
ch,autigny,Autigny,06,,46.737296,7.022172
ch,auvernier,Auvernier,12,,46.977212,6.87636
ch,auw,Auw,01,,47.211626,8.365392
ch,aux acacias,Aux Acacias,07,,46.183333,6.133333
ch,avegno,Avegno,20,,46.206655,8.74321
ch,avenches,Avenches,06,,46.880888,7.041042
ch,avry,Avry,06,,46.788153,7.070063
ch,avry-sur-matran,Avry-sur-Matran,06,,46.788153,7.070063
ch,axenstein,Axenstein,17,,46.983333,8.616667
ch,ayent,Ayent,22,,46.276857,7.406755
ch,ayer,Ayer,22,,46.179018,7.602836
ch,baar,Baar,24,20752,47.196254,8.529544
ch,bach,Bach,17,,47.20159,8.726433
ch,bachenbulach,Bachenbulach,01,,47.503787,8.547274
ch,bachlen,Bachlen,05,,46.644555,7.576512
ch,bachs,Bachs,01,,47.52572,8.440596
ch,bachtolen,Bachtolen,22,,46.284315,7.800866
ch,baden,Baden,01,16659,47.478029,8.302764
ch,bad ragaz,Bad Ragaz,09,4786,47.005367,9.501217
ch,bad schinznach,Bad Schinznach,01,,47.449855,8.170209
